Category,APP Record Type,APP Record Type Developer Name,APP Object,TRPG Target Object,TRPG Record Type / Type,TRPG Developer Name,Related APP Flows,APP Validation Rules (count),Flow Migration Priority,Field Mapping Complexity,Migration Phase,Key Custom Fields to Map,APP Flow Behaviors to Replicate,TRPG Existing Behaviors,Process Differences,Notes
Trading,APP Trade Request,APP_Trade_Request,Case,New_Account_Setup__c,Account_Setup_Type__c = Trade Request,--,"Case_APP_Case_Trade_Request_Based_on_Type_Values; Case_APP_Trade_Request_Chatter_Notification; Case_APP_Trade_Request_Task_Creation",9 VRs,High,High,Phase 2 (Mar-Apr 2026),"Traders_Notes__c >> Trade_Notes__c; FinServ__FinancialAccount__c >> Financial_Account_Name__c; OwnerId >> Setup_Assigned_To__c; Type (need new Trade_Type__c); Gross Amount; Hold in Cash/MM/IPS; DCA; Settlement Date; FSA fields; Account Closing; Verification fields","1) Queue assignment on create (Type-filtered); 2) Chatter notification to FPC via FA >> PrimaryOwner >> ReferredByContact traversal; 3) Task creation (Account Closing / FSA Journal / Follow-Up Form / Orion Fee / Distribution Processing) with biz-day due dates; 4) Role-based edit restrictions after Status leaves New","NAS has 7 flows: Assign NASU to Advisor (27 elements) routes by FA data; Account Moved To Trading Desk notifies Trading Team; AdvisorDone Check validates completion; Setup_Agreement_ChkB4_TradeDesk VR blocks trading without signed agreement; All_fields_filled_in VR enforces completeness","1) STATUS: APP request lifecycle (New >> In Progress >> Completed) vs NAS account lifecycle (Requested >> Assigned >> Trading Desk >> Finished). 2) NOTIFICATIONS: APP Chatter-mentions FPC specifically; NAS notifies Trading Team generically. 3) TASKS: APP auto-creates 5 task types; NAS has no task creation. 4) RESTRICTIONS: APP role-based VRs restrict edits to Trading users; NAS has agreement-based VR only. 5) ALLOCATION: APP free-text vs NAS structured picklist.","NAS Account_Setup_Type__c already has Trade Request value. NAS has Trade_Notes__c / Trade_Status__c / Financial_Account_Custodian__c formula. Must add ~20 new fields + replicate 9 VRs + 3 flows. No Apex triggers on either side."
Transfers,APP Transfer Request,APP_Transfer_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_Create_Transfer_Request; Case_Set_tracking_field; APP_Create_New_Case_From_Financial_Account (on FA)",5 VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_Transferring_From__c; TOA Value; ETA >> Due_Date__c; ETA_Updated__c; Case_Submitted_to_Custodian__c; Financial_Account_Number__c (formula)","1) Before-save: auto-Subject from Contact name + Type; auto-Owner; routes to queue on Submitted_to_Custodian/RIA_Ops status; 2) After-save: timestamps ETA changes and Custodian submission; 3) FA trigger: auto-creates Transfer Case from Financial Account","TRPG Help Desk has 11 flows including: Help Desk Ticket Submitted (18 elements) handles notifications; Close Child Tickets cascades; TRPG Work Desk Reassigned fires on assignment change. Due_Date__c and Financial_Account__c exist.","1) AUTO-CREATION: APP auto-creates Transfer Cases from FA via flow. Must replicate on Help Desk. 2) TIMESTAMPS: APP tracks ETA changes and Custodian submission. TRPG has no equivalent. 3) SUBJECT: APP auto-generates Subject; TRPG does not. 4) TOA: APP requires TOA Value on completion (VR); TRPG has no such validation.","APP_Add_TOA_Value VR + APP_Transfer_Request_Check VR (blocks Person Account/Household) must be replicated. No Apex on either side."
Asset Flow Exceptions,APP Asset Flow Exception Request,APP_Asset_Flow_Exception_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_Asset_Flow_Exception_Assignment; APP_Asset_Flow_Exception_Assignment_Email (draft/superseded)",2 VRs,High,Medium,Phase 2 (Mar-Apr 2026),"Exception_Request_Reason__c; Exception_Amount__c; Solution_Type__c; Date_of_Asset_Flow__c; Prior/Receiving_Rep_Name__c; Financial_Account_Number_s__c","1) Status-driven routing: Submitted for Approval >> queue + email APP Directors; More Info Needed >> reassign to creator; 2) VR requires 7 fields before Submitted for Approval status; 3) Must originate from Household account","TRPG Help Desk has Request_Assigned_to__c for routing and Send_Message__c for notifications. No equivalent approval or director-notification pattern.","1) APPROVAL: APP has status-driven pseudo-approval (Submitted for Approval >> email directors >> Approved/More Info Needed). TRPG has no approval pattern on Help Desk. 2) ORIGIN: APP requires Household Account; TRPG has no Account-type validation. 3) NOTIFICATIONS: APP sends email to APP Directors; TRPG uses Ticket_Message__c + Send_Message__c.","APP_Asset_Flow_Exception_Check (requires Household) + APP_Asset_Flow_Exception_Request_Submitt (7 required fields) VRs must be replicated."
Account Maintenance,APP Account Maintenance Request,APP_Account_Maintenance_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_Maintenance_Request; Case_APP_Maintenance_Request_Assignment; Case_Set_tracking_field",6 VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_Sub_Type__c >> Record_Type__c; Instructions >> Request_Notes_Rich__c; FinServ__FinancialAccount__c; Custodian_Service_Request_Number; Submission_Type; Due/Completed/Canceled Dates; Follow-Up fields","1) Before-save: auto-Subject from PrimaryOwner name + Type; auto-Owner to current user; 2) After-save: routes to queue on Submitted_to_Custodian/RIA_Ops; creates Check Withholding Task for QCD IRA DIST SLOA; timestamps status transitions; 3) Custom metadata (APP_Case_Assignment_Config__mdt) drives queue routing","TRPG has Request_Notes_Rich__c (75K chars); Due_Date__c exists; TRPG_Work_Desk_Closed_Date auto-sets close date. No task creation or custom metadata routing pattern.","1) SUBJECT: APP auto-generates; TRPG does not. 2) ROUTING: APP uses custom metadata for queue assignment; TRPG has no equivalent. 3) TASK CREATION: APP creates Check Withholding task for QCD; TRPG has no task pattern. 4) STATUS >> DATE: APP uses dates to force status (VR); TRPG uses status to set dates (flow). Opposite patterns. 5) SUB-TYPE: 25 values would crowd TRPG Record_Type__c (14 existing).","APP_Account_Maintenance_Check (blocks Person Account) + Add_a_Custodian_Service_Request_Number + APP_Select_Submission_Type + APP_Update_Status_Canceled/Completed VRs must be replicated. Must migrate APP_Case_Assignment_Config__mdt."
Client Maintenance,APP Client Maintenance Request,APP_Client_Maintenance_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_Maintenance_Request; Case_APP_Maintenance_Request_Assignment; Case_Set_tracking_field",4 VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_Sub_Type__c >> Record_Type__c; ContactId >> must add Contact__c; AccountId >> Account__c","1) Before-save: auto-Subject uses PersonAccount name (if person) or Business Account name; auto-Owner; 2) Shares after-save flows with Account Maintenance; 3) VR requires APP_Client__c=true or IndustriesBusiness RT on Account","TRPG Help Desk has NO Contact lookup field. Account__c exists.","1) CONTACT: TRPG Help Desk has no Contact field; must add Contact__c lookup. 2) ORIGIN: APP requires creation from Client Contact or Business Account (not FA); TRPG has no such restriction. 3) SUBJECT: Different formula logic than Account Maintenance (PersonAccount vs Business name).","APP_Clients_Validation + APP_Client_Maintenance_Check (blocks FA creation) + APP_Client_Businesses_Validation (inactive). Shares VRs with Account Maintenance."
RPS - Adoption/Amendment,APP RPS Adoption Amendment Request,APP_RPS_Adoption_Amendment_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",2 shared VRs,High,High,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c >> new lookup; Participant_Name; Date_Submitted; Custodian_Service_Request_Number","1) Before-save: custom metadata routing (APP_Case_Assignment_Config__mdt); auto-Subject from Type + Participant; auto-Due Date; 2) After-save: creates up to 5 CaseTeamMember records; Chatter posts on status transitions; status-driven owner changes","TRPG has Add_Member_1/2__c (2 slots) + User_Ticket_Relationship__c child object. Send_Message__c boolean triggers notifications.","1) TEAM: APP creates 5 CaseTeamMembers; TRPG has 2 inline slots + child records. Must use User_Ticket_Relationship__c. 2) ROUTING: APP uses custom metadata; TRPG has no equivalent. 3) NOTIFICATIONS: APP uses Chatter; TRPG uses Ticket_Message__c + Send_Message__c.","Evaluate dedicated RPS RT on Help Desk with CRPS team. Must migrate APP_Case_Assignment_Config__mdt. RPS statuses (Compliance Review / etc.) need custom values on Help Desk."
RPS - Fee Review,APP RPS Complete Fee Review Request,APP_RPS_Complete_Fee_Review_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",4 VRs (2 shared + 2 specific),High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Fee_Review_Result; Fee_Change_Effective_Date; Are_Fees_Excluded; Fee_Exclusion_Details","Same RPS flows as above; plus: Fee Review Result + Description required on Completed; Effective Date required when result = Increase/Reduction; RPS Assignment routes Fee Review to specific user (not queue)","See RPS - Adoption/Amendment","Same as RPS + 2 additional VRs for fee review completion requirements. RPS Assignment flow has special routing for Fee Review RT (assigns to User not Queue).","APP_Fee_Change_Effective_Date_is_require + APP_Fee_Review_Result_and_Description_Re VRs must be replicated."
RPS - Corrective,APP RPS Corrective Request,APP_RPS_Corrective_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions",3 VRs (2 shared + 1 specific),High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name; Contribution_Amount; Check_Number; Check_Date","Same RPS flows; plus: Chatter post on Corrective Request status; Check Number + Check Date required on Completed","See RPS - Adoption/Amendment","Same as RPS + Corrective-specific Chatter notification + completion VR requiring Check Number/Date.","APP_RPS_Corrective_Request VR must be replicated."
RPS - Distribution,APP RPS Distribution Request,APP_RPS_Distribution_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions; Case_APP_Set_Status_Start_and_End_Dates",2 shared VRs,High,High,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name; Gross_Amount; Federal/State %; Check_Money_Link; Journal; Check_Number/Date; Submission_Type; NIGO dates (6 fields); Participant/Sponsor verification dates (4 fields); 3 formula fields; Assigned_to_MM_Queue; Case_Set_to_NIGO; Case_Submitted_to_Custodian; ETA","Same RPS flows; plus: Status date tracking flow auto-timestamps 6 date transitions (NIGO Start/End >> Participant Verification Start/End >> Sponsor Verification Start/End). 3 formula fields calculate days in each status phase.","See RPS - Adoption/Amendment; TRPG has no status-phase-date tracking pattern.","Most complex RPS type. 1) STATUS PHASES: 3 sequential verification phases with auto-timestamping. No TRPG equivalent. 2) FORMULAS: 3 duration calculations. 3) COMPLIANCE: Compliance Review - Hardship/Loan statuses have no TRPG mapping.","Includes NIGO / Participant Verification / Sponsor Verification status tracking with auto-date-stamping flow. ~15 custom fields + 3 formula fields needed."
RPS - Force Out,APP RPS Force Out Request,APP_RPS_Force_Out_Request,Case,TRPG_Help_Desk__c,Work Item,Other,"Case_APP_RPS_Case_Assignment_Flow; Case_APP_RPS_Case_Status_Actions; Case_APP_Set_Status_Start_and_End_Dates",2 shared VRs,High,Medium,Phase 2 (Mar-Apr 2026),"APP_RPS_Plan__c; Participant_Name; Gross_Amount; NIGO/Verification date fields","Same as Distribution minus tax withholding and check fields","See RPS - Distribution","Subset of Distribution complexity. Same status-phase tracking.",
